destination_id,ending_day,ending_money,ending_provisions,forecast_expected_loss,forecast_expected_net_profit,forecast_gross_trade_margin,forecast_risk,good_id,incident,note,policy,quantity_purchased,quantity_sold,realized_cash_profit,realized_economic_profit,route_id,route_roll,seed,status,policy_label,forecast_error,choice
reedwatch,2,108,11,6,-23,-8,0.35,grain,False,Sold 2 grain for 16 ashmarks.,guided_grain_delivery,2,2,-12,-17,old_road,0.79,1,completed,Guided grain delivery,6,grain → reedwatch / old_road
reedwatch,2,227,11,22,80,119,0.1,water,False,Sold 7 water for 224 ashmarks.,forecast_maximizer,7,7,107,102,toll_road,0.79,1,completed,Forecast maximizer,22,water → reedwatch / toll_road
reedwatch,3,205,10,123,-16,119,0.55,water,True,Sold 6 water for 192 ashmarks.,gross_margin_chaser,7,6,85,75,dry_cut,0.1,1,completed,Gross-margin chaser,91,water → reedwatch / dry_cut
reedwatch,2,235,11,78,32,119,0.35,water,False,Sold 7 water for 224 ashmarks.,map_constrained_forecast,7,7,115,110,old_road,0.79,1,completed,Map-constrained forecast,78,water → reedwatch / old_road
reedwatch,2,235,11,78,32,119,0.35,water,False,Sold 7 water for 224 ashmarks.,map_constrained_gross_margin,7,7,115,110,old_road,0.79,1,completed,Map-constrained gross-margin,78,water → reedwatch / old_road
reedwatch,2,227,11,22,80,119,0.1,water,False,Sold 7 water for 224 ashmarks.,toll_road_only,7,7,107,102,toll_road,0.79,1,completed,Toll-road-only,22,water → reedwatch / toll_road
,1,120,12,0,0,0,0.0,,False,No trade taken,no_trade,0,0,0,0,,-1.0,1,no action,No trade baseline,0,No trade
reedwatch,2,108,11,6,-23,-8,0.35,grain,False,Sold 2 grain for 16 ashmarks.,guided_grain_delivery,2,2,-12,-17,old_road,0.96,2,completed,Guided grain delivery,6,grain → reedwatch / old_road
reedwatch,2,227,11,22,80,119,0.1,water,False,Sold 7 water for 224 ashmarks.,forecast_maximizer,7,7,107,102,toll_road,0.96,2,completed,Forecast maximizer,22,water → reedwatch / toll_road
reedwatch,3,205,10,123,-16,119,0.55,water,True,Sold 6 water for 192 ashmarks.,gross_margin_chaser,7,6,85,75,dry_cut,0.27,2,completed,Gross-margin chaser,91,water → reedwatch / dry_cut
reedwatch,2,235,11,78,32,119,0.35,water,False,Sold 7 water for 224 ashmarks.,map_constrained_forecast,7,7,115,110,old_road,0.96,2,completed,Map-constrained forecast,78,water → reedwatch / old_road
reedwatch,2,235,11,78,32,119,0.35,water,False,Sold 7 water for 224 ashmarks.,map_constrained_gross_margin,7,7,115,110,old_road,0.96,2,completed,Map-constrained gross-margin,78,water → reedwatch / old_road
